trial	ptIdx	percentValid	centX	centY	centDist	centAngle	RMS	subj	glasses	dist	offset
6	21	1.0000	143.4420	1008.7670	0.6890	262.4590	0.1310	101	SMI	3M	0deg
7	15	1.0000	796.4170	717.6080	0.8600	260.3720	0.0960	101	SMI	3M	0deg
8	1	1.0000	141.9420	369.0080	0.7940	263.0330	0.1070	101	SMI	3M	0deg
9	11	1.0000	104.6000	667.7580	0.6970	249.6970	0.5590	101	SMI	3M	0deg
1	3	1.0000	509.4170	82.1670	0.3310	443.6410	0.1390	101	SMI	3M	10Ldeg
2	21	0.9920	192.2180	654.2020	0.7050	441.8820	0.1030	101	SMI	3M	10Ldeg
3	5	0.9830	774.9920	53.7800	0.4950	477.3310	0.1010	101	SMI	3M	10Ldeg
4	13	1.0080	449.2150	305.3550	0.7840	464.6230	0.0960	101	SMI	3M	10Ldeg
5	15	1.0000	765.4000	360.1000	0.6060	475.9010	0.1180	101	SMI	3M	10Ldeg
6	23	1.0000	440.8750	658.0750	0.7210	468.6420	0.1180	101	SMI	3M	10Ldeg
7	1	1.0000	72.6580	-117.2830	1.1650	468.3180	0.0830	101	SMI	3M	10Ldeg
8	25	1.0080	735.6610	630.5540	0.8770	475.7190	0.1090	101	SMI	3M	10Ldeg
9	11	0.9830	74.8470	293.7800	0.8790	474.0010	0.0920	101	SMI	3M	10Ldeg
1	13	0.9670	798.5600	755.9480	1.5320	319.3940	0.2450	101	SMI	3M	10Rdeg
2	3	0.9920	880.1430	356.9500	1.6560	333.4090	0.0990	101	SMI	3M	10Rdeg
3	15	0.9830	1214.2030	644.1690	1.5860	339.2670	0.1360	101	SMI	3M	10Rdeg
4	1	0.9920	616.2270	293.0760	1.8190	344.2950	0.1090	101	SMI	3M	10Rdeg
5	21	1.0080	626.6940	900.0910	1.8110	351.7430	0.1050	101	SMI	3M	10Rdeg
6	11	1.0080	736.7020	523.2890	2.2220	357.6600	0.1410	101	SMI	3M	10Rdeg
7	5	0.9920	1481.8740	154.8400	2.5270	361.0450	0.0960	101	SMI	3M	10Rdeg
8	25	1.0000	1435.2000	786.0830	2.3520	364.4890	0.1090	101	SMI	3M	10Rdeg
9	23	0.9920	1116.1180	830.7650	2.4000	360.2390	0.1040	101	SMI	3M	10Rdeg
1	23	1.0000	484.8300	839.2600	0.1900	201.3400	0.1360	101	Tobii	1M	0deg
2	15	1.0000	802.3800	541.2300	0.6010	233.1030	0.2390	101	Tobii	1M	0deg
3	5	1.0000	837.4700	263.9700	1.1350	272.4340	0.1230	101	Tobii	1M	0deg
4	3	1.0000	511.9000	259.4400	1.0900	277.3090	0.1250	101	Tobii	1M	0deg
5	1	1.0000	164.3500	255.9800	1.0410	268.5140	0.1450	101	Tobii	1M	0deg
6	13	1.0000	482.0300	525.1900	0.3610	234.4970	0.0880	101	Tobii	1M	0deg
7	11	1.0000	166.8200	580.2100	0.9350	270.1100	0.1490	101	Tobii	1M	0deg
8	25	1.0000	776.8000	874.7700	0.8170	216.2400	0.1440	101	Tobii	1M	0deg
9	21	1.0000	168.8500	874.7000	0.4830	273.0210	0.1780	101	Tobii	1M	0deg
1	3	1.0000	506.8700	245.7600	0.9250	274.9640	0.2170	101	Tobii	1M	10Ldeg
2	23	1.0000	485.8300	862.2000	0.3750	243.8550	0.2050	101	Tobii	1M	10Ldeg
3	25	1.0000	823.7400	843.6100	0.1640	226.9700	0.1400	101	Tobii	1M	10Ldeg
4	5	1.0000	846.9600	266.0900	1.1700	277.8040	0.1590	101	Tobii	1M	10Ldeg
5	13	1.0000	515.0500	590.8200	1.0730	279.4090	0.2530	101	Tobii	1M	10Ldeg
6	15	1.0000	843.6300	588.4100	1.0370	276.6430	0.1110	101	Tobii	1M	10Ldeg
7	21	1.0000	155.5400	913.9600	0.9490	262.1430	0.2530	101	Tobii	1M	10Ldeg
8	11	1.0000	152.7700	561.4900	0.7350	257.2650	0.2450	101	Tobii	1M	10Ldeg
9	1	1.0000	114.4900	212.6800	0.8110	221.4080	0.1950	101	Tobii	1M	10Ldeg
1	25	1.0000	1129.2200	781.4400	3.5010	369.9480	1.7450	101	Tobii	1M	10Rdeg
2	13	1.0000	502.1100	576.7300	0.8950	271.5750	0.2220	101	Tobii	1M	10Rdeg
3	1	0.9500	388.8740	144.1370	2.6030	365.7890	2.0210	101	Tobii	1M	10Rdeg
4	21	1.0000	156.3900	849.4900	0.2230	237.5410	0.2450	101	Tobii	1M	10Rdeg
5	15	1.0000	907.5000	568.4000	1.1760	317.3160	0.3300	101	Tobii	1M	10Rdeg
6	5	0.9600	866.3440	87.7810	0.9970	427.2930	1.5750	101	Tobii	1M	10Rdeg
7	3	1.0000	534.7500	185.6500	0.4620	331.3530	0.1420	101	Tobii	1M	10Rdeg
8	11	1.0100	132.9700	567.6340	0.8810	243.5170	0.1480	101	Tobii	1M	10Rdeg
9	23	1.0000	489.8900	909.9400	0.9010	262.4820	0.1860	101	Tobii	1M	10Rdeg
1	25	1.0000	803.8100	957.5700	0.7460	256.6320	0.1950	101	Tobii	2M	0deg
2	5	1.0000	843.4500	508.5000	1.9980	271.6950	0.1760	101	Tobii	2M	0deg
3	15	0.9600	847.3120	759.0520	1.5150	273.0890	0.0820	101	Tobii	2M	0deg
4	13	1.0000	525.7300	752.4500	1.4820	275.8200	0.1440	101	Tobii	2M	0deg
5	21	1.0000	155.0400	1094.5300	1.5270	267.4510	0.0910	101	Tobii	2M	0deg
6	11	1.0000	192.0200	778.8200	1.6350	275.1960	0.1550	101	Tobii	2M	0deg
7	1	1.0000	210.0900	461.4200	1.7400	278.3810	0.1350	101	Tobii	2M	0deg
8	23	1.0000	498.4400	1096.2200	1.5360	269.6600	0.1910	101	Tobii	2M	0deg
9	3	1.0000	567.9500	519.0400	2.0960	280.9150	0.1210	101	Tobii	2M	0deg
1	15	1.0000	903.1400	660.0500	1.0200	293.5650	0.1620	101	Tobii	2M	10Ldeg
2	1	1.0000	274.2200	379.2700	1.3920	296.8340	0.1920	101	Tobii	2M	10Ldeg
3	13	1.0000	559.5600	664.7600	1.0230	289.8750	0.1590	101	Tobii	2M	10Ldeg
4	3	1.0000	604.8900	419.6600	1.6000	292.5190	0.1200	101	Tobii	2M	10Ldeg
5	5	1.0000	914.3300	518.7200	2.1100	282.9570	0.1000	101	Tobii	2M	10Ldeg
6	25	1.0000	873.2800	955.0900	0.7480	288.1640	0.1060	101	Tobii	2M	10Ldeg
7	23	1.0000	564.6000	956.0300	0.8100	297.7670	0.1180	101	Tobii	2M	10Ldeg
8	21	1.0000	223.1800	940.2100	0.7060	297.8690	0.1250	101	Tobii	2M	10Ldeg
9	11	1.0000	242.0000	679.1200	1.1350	292.8100	0.1170	101	Tobii	2M	10Ldeg
1	1	1.0000	107.0100	485.2800	1.8930	259.3950	0.1890	101	Tobii	2M	10Rdeg
2	23	1.0000	463.7000	1028.5600	1.1600	259.4670	0.1380	101	Tobii	2M	10Rdeg
3	5	1.0000	745.3700	445.8300	1.7100	252.5110	0.5130	101	Tobii	2M	10Rdeg
4	11	1.0000	59.9800	781.2200	1.7570	249.2250	0.3320	101	Tobii	2M	10Rdeg
5	21	1.0000	160.2600	1031.7900	1.1600	268.1510	0.1320	101	Tobii	2M	10Rdeg
6	15	1.0000	1115.4400	666.0200	1.9120	329.5230	1.4230	101	Tobii	2M	10Rdeg
7	3	1.0000	435.0600	504.3500	2.0090	259.1140	0.1240	101	Tobii	2M	10Rdeg
8	25	1.0000	839.2000	1025.5900	1.1240	271.7480	0.2830	101	Tobii	2M	10Rdeg
9	13	0.9900	587.8590	880.3030	2.2800	283.0080	0.9720	101	Tobii	2M	10Rdeg
1	1	1.0000	311.4000	983.6500	3.2320	280.0460	0.1400	101	Tobii	3M	0deg
2	23	1.0000	501.1800	1562.3900	2.8400	270.0930	0.3100	101	Tobii	3M	0deg
3	25	1.0000	839.6300	1442.6500	2.3740	270.5920	0.1220	101	Tobii	3M	0deg
4	5	0.9800	863.7040	728.9080	2.1930	273.0920	0.2910	101	Tobii	3M	0deg
5	3	1.0000	508.0800	741.1500	2.2380	270.8060	0.1490	101	Tobii	3M	0deg
6	21	1.0000	214.8100	1470.8100	2.4900	274.3190	0.1670	101	Tobii	3M	0deg
7	11	1.0000	254.8600	1319.8100	3.2120	276.1400	0.1150	101	Tobii	3M	0deg
